QuestionID,Questiontext,Questiontype,Correct Answer,QuestionBankCode,Randomize Answer Choices,# of Answer Choices,All of the Above,None of the Above,Answer 1,Answer 2,Answer 3,Answer 4,,,,,,Answer 10
41,Post-it Notes are commonly used to create Affinity Diagrams.,True or False,2,Hoshin,1,2,,,True,False,,,,,,,,
42,Breakthrough objectives are the vital few _________ changes needed for the organization to achieve its vision.,Multiple Choice,4,Hoshin,1,4,,,Compliance Explanation 1,Effect Explanation 2,Action Explanation 3,Severity Explanation 4,,,,,,
43,Which of the following is NOT one of the three tests all Breakthrough Objectives must pass?,Multiple Choice,4,Hoshin,1,4,,,Severity Explanation 1,Action Explanation 2,Risk Explanation 3,Effect Explanation 4,,,,,,
44,The A3 diagram gets its name because of the size of paper it is usually printed on.,True or False,2,Hoshin,1,2,,,True,False,,,,,,,,
45,"The catch ball process is much faster, initially, when compared to the traditional way managers roll objectives out.",True or False,2,Hoshin,1,2,,,True,False,,,,,,,,
46,The horizontal deploying or copying of ideas.,Multiple Choice,4,Hoshin,1,4,,,Action Explanation 1,Severity Explanation 2,Effect Explanation 3,Compliance Explanation 4,,,,,,
47,A word that when translated means reflection or even repentance.,Multiple Choice,4,Hoshin,1,4,,,Compliance Explanation 1,Risk Explanation 2,Effect Explanation 3,Severity Explanation 4,,,,,,
48,"This is the correct sequence of steps in Hoshin Planning: 1. Develop the vision, mission, and key metrics of the organization 2. Identify breakthrough objectives 3. Set annual improvement plans",True or False,2,Hoshin,1,2,,,True,False,,,,,,,,
49,5S is a method of creating a clean and orderly workplace that exposes waste and makes _______________ immediately visible.,Multiple Choice,4,5S,1,4,,,Compliance Explanation 1,Action Explanation 2,Risk Explanation 3,Effect Explanation 4,,,,,,
50,Please match the S to the correct description.,Multiple Choice,4,5S,1,4,,,Effect Explanation 1,Action Explanation 2,Risk Explanation 3,Compliance Explanation 4,,,,,,
51,The definition of sort is to remove unnecessary items from the workplace that no longer add value.,True or False,2,5S,1,2,,,True,False,,,,,,,,
52,There is no need to involve your Controller or Finance team before sorting.,True or False,2,5S,1,2,,,True,False,,,,,,,,
53,Which of the following are criterion for determining if an item should be red tagged or not. Select all that apply (hint: there are 3).,Multiple Choice,4,5S,1,4,,,Compliance Explanation 1,Risk Explanation 2,Severity Explanation 3,Action Explanation 4,,,,,,
54,Red tagging is most definitely a ___________ activity.,Multiple Choice,4,5S,1,4,,,Effect Explanation 1,Action Explanation 2,Severity Explanation 3,Risk Explanation 4,,,,,,
55,Which are viable options for getting rid of items not needed in the workplace? Select all that apply.,Multiple Choice,4,5S,1,4,,,Action Explanation 1,Severity Explanation 2,Compliance Explanation 3,Risk Explanation 4,,,,,,
56,"A good definition of straighten is, ""A place for everything, and everything ___________________.""",Multiple Choice,4,5S,1,4,,,Risk Explanation 1,Severity Explanation 2,Compliance Explanation 3,Effect Explanation 4,,,,,,
57,What are some of the reasons we do the straighten step? Select all that apply.,Multiple Choice,4,5S,1,4,,,Compliance Explanation 1,Severity Explanation 2,Action Explanation 3,Effect Explanation 4,,,,,,
58,"""Materials, tools, and parts located close to the process they will be used"" best describes what principle?",Multiple Choice,4,5S,1,4,,,Risk Explanation 1,Action Explanation 2,Effect Explanation 3,Compliance Explanation 4,,,,,,
59,"Which is not one of the ""Three F Standards"" used to describe proper storage techniques?",Multiple Choice,4,5S,1,4,,,Compliance Explanation 1,Effect Explanation 2,Action Explanation 3,Severity Explanation 4,,,,,,
60,"To ""sweep"" means to clean in such a way as to identify and ______________ the sources of contamination.",Multiple Choice,4,5S,1,4,,,Severity Explanation 1,Compliance Explanation 2,Effect Explanation 3,Risk Explanation 4,,,,,,
61,Which are reasons we do the sweep step? Select all that apply.,Multiple Choice,4,5S,1,4,,,Risk Explanation 1,Severity Explanation 2,Compliance Explanation 3,Action Explanation 4,,,,,,
62,How clean is clean enough?,Multiple Choice,4,5S,1,4,,,Risk Explanation 1,Severity Explanation 2,Compliance Explanation 3,Action Explanation 4,,,,,,
63,"""Where there is no standard, there can be no __________""",Multiple Choice,4,5S,1,4,,,Severity Explanation 1,Action Explanation 2,Compliance Explanation 3,Effect Explanation 4,,,,,,
64,Entropy is a measure of the _____________ in any system.,Multiple Choice,4,5S,1,4,,,Effect Explanation 1,Action Explanation 2,Risk Explanation 3,Severity Explanation 4,,,,,,
65,"Standardize, in the context of 5S, is simply the result of doing the first three steps properly - namely sort, straighten, and sweep.",True or False,2,5S,1,2,,,True,False,,,,,,,,
66,"Sustain means to have the commitment and self-discipline to maintain the previous four steps (sort, straighten sweep, and standardize).",True or False,2,5S,1,2,,,True,False,,,,,,,,
67,"The phrase ""Genchi Genbutsu"" means to:",Multiple Choice,4,5S,1,4,,,Severity Explanation 1,Risk Explanation 2,Effect Explanation 3,Action Explanation 4,,,,,,
68,What any organization that excels at 5S is at all times.,Multiple Choice,4,5S,1,4,,,Compliance Explanation 1,Action Explanation 2,Risk Explanation 3,Effect Explanation 4,,,,,,
69,"The skill matrix is also referred to as a ""versatility chart.""",True or False,2,5S,1,2,,,True,False,,,,,,,,
70,Select all the reasons we use a skill matrix.,Multiple Choice,4,5S,1,4,,,Compliance Explanation 1,Action Explanation 2,Severity Explanation 3,Risk Explanation 4,,,,,,
71,It's best to use electronic software and databases when first creating a skill matrix.,True or False,2,5S,1,2,,,True,False,,,,,,,,
72,Job Instruction is a __________ step method for supervisors and team leaders to effectively train people in their job.,Multiple Choice,4,5S,1,4,,,Effect Explanation 1,Action Explanation 2,Compliance Explanation 3,Severity Explanation 4,,,,,,
73,Please number the steps to create a skill matrix into the correct order.,Multiple Choice,4,5S,1,4,,,Effect Explanation 1,Risk Explanation 2,Compliance Explanation 3,Action Explanation 4,,,,,,
74,"Please select the three elements, or categories of work.",Multiple Choice,4,Muda,1,4,,,Compliance Explanation 1,Effect Explanation 2,Severity Explanation 3,Risk Explanation 4,,,,,,
75,"Inventory is often referred to as the ""mother of all wastes.""",True or False,2,Muda,1,2,,,True,False,,,,,,,,
76,Reaching or straining to reach a tool is an example of what type of waste?,Multiple Choice,4,Muda,1,4,,,Effect Explanation 1,Severity Explanation 2,Action Explanation 3,Compliance Explanation 4,,,,,,
77,The primary difference between the wastes of motion and transportation is that with transportation we are moving goods or inventory and with motion people are moving without goods or inventory.,True or False,2,Muda,1,2,,,True,False,,,,,,,,
78,"Popularized the concept of ""standing in the circle.""",Multiple Choice,4,Muda,1,4,,,Action Explanation 1,Effect Explanation 2,Compliance Explanation 3,Risk Explanation 4,,,,,,
79,99% good (only 1% bad) is an acceptable performance level for critical processes.,True or False,2,Muda,1,2,,,True,False,,,,,,,,
80,Pokayoke is often refeered to as this.,Multiple Choice,4,Muda,1,4,,,Compliance Explanation 1,Risk Explanation 2,Severity Explanation 3,Action Explanation 4,,,,,,
81,The basic premise behind Jidoka is that machines are able to detect and stop when an issue has occurred.,True or False,2,Muda,1,2,,,True,False,,,,,,,,
82,"Given an average demand per day of 525 pieces, a lead-time to replenish this stock of 4 days, 2 standard deviations of demand history is 20%, and the max shortfall due to internal inefficiencies is 10%, how much safety stock is needed?  See “Inventory” module if you need to review.",Multiple Choice,4,Muda,1,4,,,Risk Explanation 1,Effect Explanation 2,Severity Explanation 3,Action Explanation 4,,,,,,
83,The waste of processing generally stems from the lack of understanding what?,Multiple Choice,4,Muda,1,4,,,Action Explanation 1,Compliance Explanation 2,Risk Explanation 3,Effect Explanation 4,,,,,,
84,Which is not an example of processing waste?,Multiple Choice,4,Muda,1,4,,,Action Explanation 1,Effect Explanation 2,Severity Explanation 3,Compliance Explanation 4,,,,,,
85,Is the word that describes production leveling or production smoothing.,Multiple Choice,4,Muda,1,4,,,Effect Explanation 1,Compliance Explanation 2,Severity Explanation 3,Risk Explanation 4,,,,,,
86,Motion is any movement of people that does not add __________ to the product.,Multiple Choice,4,Muda,1,4,,,Effect Explanation 1,Risk Explanation 2,Compliance Explanation 3,Severity Explanation 4,,,,,,
87,Wasted motion often leads to what. Select all that apply.,Multiple Choice,4,Muda,1,4,,,Risk Explanation 1,Severity Explanation 2,Action Explanation 3,Compliance Explanation 4,,,,,,
88,Moving inventory on sophisticated conveyor systems is a form of transportation waste.,True or False,2,Muda,1,2,,,True,False,,,,,,,,
89,Overproduction is often referred to as the ____________ of all wastes.,Multiple Choice,4,Muda,1,4,,,Action Explanation 1,Risk Explanation 2,Severity Explanation 3,Compliance Explanation 4,,,,,,
90,Sometimes called the 8th waste.,Multiple Choice,4,Muda,1,4,,,Effect Explanation 1,Severity Explanation 2,Risk Explanation 3,Action Explanation 4,,,,,,
91,"Inventory is often referred to as the ""mother of all wastes.""",True or False,2,Muda,1,2,,,True,False,,,,,,,,
92,"Lean is an operational excellence strategy that enables people, and organizations, to change for the better.",True or False,2,Core Knowledge,1,2,,,True,False,,,,,,,,
93,Lean’s greatest value lies in the development of ______________.,Multiple Choice,4,Core Knowledge,1,4,,,Severity Explanation 1,Action Explanation 2,Effect Explanation 3,Risk Explanation 4,,,,,,
95,Lean is primarily a waste reduction methodology with little attention given to improving the quality and stability of processes.,True or False,2,Core Knowledge,1,2,,,True,False,,,,,,,,
96,Lean can be successfully used in the following industries.  Select all that apply.,Multiple Choice,4,Core Knowledge,1,4,,,Risk Explanation 1,Action Explanation 2,Severity Explanation 3,Effect Explanation 4,,,,,,
97,What does it take to succeed at kaizen?,Multiple Choice,4,Core Knowledge,1,4,,,Compliance Explanation 1,Effect Explanation 2,Action Explanation 3,Severity Explanation 4,,,,,,
98,The first commandment of continuous improvement challenges us to open our _________ to change.,Multiple Choice,4,Core Knowledge,1,4,,,Action Explanation 1,Effect Explanation 2,Compliance Explanation 3,Risk Explanation 4,,,,,,
99,When faced with an issue or challenge we should focus our energy on:,Multiple Choice,4,Core Knowledge,1,4,,,Compliance Explanation 1,Severity Explanation 2,Action Explanation 3,Effect Explanation 4,,,,,,
100,The fourth commandment of continuous improvement challenges us to seek __________ solutions.,Multiple Choice,4,Core Knowledge,1,4,,,Effect Explanation 1,Risk Explanation 2,Severity Explanation 3,Action Explanation 4,,,,,,
101,We should always attempt to use creativity before capital.,True or False,2,Core Knowledge,1,2,,,True,False,,,,,,,,
102,There is a final destination on the continuous improvement journey.,True or False,2,Core Knowledge,1,2,,,True,False,,,,,,,,
103,3P stands for Production Preparation               .,Multiple Choice,4,Production Prepartion Process,1,4,,,Risk Explanation 1,Effect Explanation 2,Action Explanation 3,Compliance Explanation 4,,,,,,
104,"The goal of 3P, as it relates to healthcare, is to provide from day one of implementation, 100% quality of care, flowing with no waste, in a safe and effective manner.",True or False,2,Production Prepartion Process,1,2,,,True,False,,,,,,,,
105,of the cost encountered after the construction of a healthcare facility is directly related to the decisions made during the design phase.,Multiple Choice,4,Production Prepartion Process,1,4,,,Risk Explanation 1,Compliance Explanation 2,Action Explanation 3,Effect Explanation 4,,,,,,
106,Our goal when designing a new healthcare facility should be to move patients to care rather than moving the care to the patients.,True or False,2,Production Prepartion Process,1,2,,,True,False,,,,,,,,
107,"According to the video, how many “flows” are there in healthcare?",Multiple Choice,4,Production Prepartion Process,1,4,,,Risk Explanation 1,Compliance Explanation 2,Effect Explanation 3,Severity Explanation 4,,,,,,
108,Velcro was invented by an engineer who studied how burrs stuck onto his dog’s fur.,True or False,2,Production Prepartion Process,1,2,,,True,False,,,,,,,,
109,"A Lean tool that uses fast and inexpensive prototyping to develop and prove a concept, prior to full implementation.",Multiple Choice,4,Production Prepartion Process,1,4,,,Effect Explanation 1,Risk Explanation 2,Action Explanation 3,Severity Explanation 4,,,,,,
110,The goal of moonshining is to spend money while seeking alternate ways of working.,True or False,2,Production Prepartion Process,1,2,,,True,False,,,,,,,,
111,It is essential to formalize the moonshining process.,True or False,2,Production Prepartion Process,1,2,,,True,False,,,,,,,,
112,Built in Quality is a key pillar of the Toyota Production System “house”.,True or False,2,Quality,1,2,,,True,False,,,,,,,,
113,"Built in Quality is a system to enable processes to prevent, detect, contain, and countermeasure errors, so that defects are not passed on to the consumer.",True or False,2,Quality,1,2,,,True,False,,,,,,,,
114,Which of the following are parts of the 7 wastes of a process? Select all that apply.,Multiple Choice,4,Quality,1,4,,,Action Explanation 1,Risk Explanation 2,Compliance Explanation 3,Severity Explanation 4,,,,,,
115,"_________ is the addition of human intelligence to machines and processes to improve safety, quality and productivity.",Multiple Choice,4,Quality,1,4,,,Effect Explanation 1,Compliance Explanation 2,Severity Explanation 3,Action Explanation 4,,,,,,
116,The purpose of inspection is not to find and remove the defective product – it is to determine the root cause of the error.,True or False,2,Quality,1,2,,,True,False,,,,,,,,
117,"Which of the following is NOT one of the 4 Roles of Quality Confirmation, sometimes called the 4 Cs?",Multiple Choice,4,Quality,1,4,,,Severity Explanation 1,Effect Explanation 2,Action Explanation 3,Risk Explanation 4,,,,,,
118,"Which of the following is NOT one of the 4 Roles of Quality Confirmation, sometimes called the 4 Cs?",Multiple Choice,4,Quality,1,4,,,Effect Explanation 1,Action Explanation 2,Compliance Explanation 3,Risk Explanation 4,,,,,,
119,It always makes the most economical sense to repair a defective item.,True or False,2,Quality,1,2,,,True,False,,,,,,,,
120,A good Problem Statement _________. Choose all that apply.,Multiple Choice,4,Quality,1,4,,,Effect Explanation 1,Action Explanation 2,Severity Explanation 3,Compliance Explanation 4,,,,,,
121,The A3 document is named after the size of paper it is prepared on,True or False,2,Quality,1,2,,,True,False,,,,,,,,
122,"With an Andon system, all operators are encouraged to halt production if a defect occurs, however it is the level and speed of the response that enables them to address the defect or problem.",True or False,2,Quality,1,2,,,True,False,,,,,,,,
123,Which best describes the definition of a problem as discussed in the module? Please choose all that apply.,Multiple Choice,4,Practical Problem Solving,1,4,,,Compliance Explanation 1,Action Explanation 2,Risk Explanation 3,Effect Explanation 4,,,,,,
124,The failure to plan properly almost always results in longer times to resolve the problems.,True or False,2,Practical Problem Solving,1,2,,,True,False,,,,,,,,
125,"The primary Six Sigma roadmap used today is Define, _______, Analyze, Improve, and Control. Please select the correct answer.",Multiple Choice,4,Practical Problem Solving,1,4,,,Effect Explanation 1,Risk Explanation 2,Severity Explanation 3,Action Explanation 4,,,,,,
126,It’s not important to contain the problem in order to protect the customer.,True or False,2,Practical Problem Solving,1,2,,,True,False,,,,,,,,
127,Which statement best describes the last of the 8 steps to Practical Problem Solving?,Multiple Choice,4,Practical Problem Solving,1,4,,,Action Explanation 1,Severity Explanation 2,Risk Explanation 3,Compliance Explanation 4,,,,,,
128,No problem is a problem.,True or False,2,Practical Problem Solving,1,2,,,True,False,,,,,,,,
129,PDCA stands for,Multiple Choice,4,Problem Solving,1,4,,,Risk Explanation 1,Effect Explanation 2,Compliance Explanation 3,Action Explanation 4,,,,,,
130,"PDCA is only applicable to high volume, low mix manufacturing organizations.",True or False,2,Problem Solving,1,2,,,True,False,,,,,,,,
131,"During the PDCA process we must to go gemba, or the place the work is done, in order to see what’s actually happening with our own eyes.",True or False,2,Problem Solving,1,2,,,True,False,,,,,,,,
132,The Japanese word that translates to reflection or even repentance.,Multiple Choice,4,Problem Solving,1,4,,,Risk Explanation 1,Action Explanation 2,Severity Explanation 3,Compliance Explanation 4,,,,,,
133,This horizontal deploying or copying of successful ideas throughout the organization.,Multiple Choice,4,Problem Solving,1,4,,,Effect Explanation 1,Risk Explanation 2,Action Explanation 3,Compliance Explanation 4,,,,,,
135,The first step of the practical problem solving method is to set SMART targets.,True or False,2,Problem Solving,1,2,,,True,False,,,,,,,,
137,Problem statements should be focused on the ___________ situation while clearly identifying the gap.,Multiple Choice,4,Problem Solving,1,4,,,Action Explanation 1,Severity Explanation 2,Effect Explanation 3,Risk Explanation 4,,,,,,
138,Problem statements should be measurable and clear.,True or False,2,Problem Solving,1,2,,,True,False,,,,,,,,
139,Which statements are true? Please select all correct choices.,Multiple Choice,4,Problem Solving,1,4,,,Risk Explanation 1,Severity Explanation 2,Compliance Explanation 3,Effect Explanation 4,,,,,,
140,When first breaking a problem down which questions should we ask? Select all that apply.,Multiple Choice,4,Problem Solving,1,4,,,Severity Explanation 1,Action Explanation 2,Risk Explanation 3,Effect Explanation 4,,,,,,
141,The Points of Cause describe where the problem is happening within the process.,True or False,2,Problem Solving,1,2,,,True,False,,,,,,,,
142,The Pareto principle is also known as the __________ rule.,Multiple Choice,4,Problem Solving,1,4,,,Action Explanation 1,Compliance Explanation 2,Severity Explanation 3,Effect Explanation 4,,,,,,
143,The Tree Diagram helps us break down broad categories into finer levels of ___________.,Multiple Choice,4,Problem Solving,1,4,,,Compliance Explanation 1,Severity Explanation 2,Risk Explanation 3,Effect Explanation 4,,,,,,
144,What three things help us prioritize issues? Select the 3 correct answers.,Multiple Choice,4,Problem Solving,1,4,,,Effect Explanation 1,Severity Explanation 2,Compliance Explanation 3,Action Explanation 4,,,,,,
145,Setting targets that we WILL hit is an important step as it forces us to make a commitment.,True or False,2,Problem Solving,1,2,,,True,False,,,,,,,,
146,The “S” in SMART stands for:,Multiple Choice,4,Problem Solving,1,4,,,Risk Explanation 1,Action Explanation 2,Severity Explanation 3,Effect Explanation 4,,,,,,
147,A target must be measurable.,True or False,2,Problem Solving,1,2,,,True,False,,,,,,,,
148,An attainable target is one you are ________________ about.,Multiple Choice,4,Problem Solving,1,4,,,Severity Explanation 1,Risk Explanation 2,Effect Explanation 3,Compliance Explanation 4,,,,,,
149,When setting targets we must be careful to not confuse. Select all that apply.,Multiple Choice,4,Problem Solving,1,4,,,Risk Explanation 1,Compliance Explanation 2,Effect Explanation 3,Severity Explanation 4,,,,,,
150,Points of cause are the places the problem becomes visible while the root causes are things that cause them.,True or False,2,Problem Solving,1,2,,,True,False,,,,,,,,
151,"The first, and arguably most important method of analyzing the root cause is to go see for __________ without prejudice.",Multiple Choice,4,Problem Solving,1,4,,,Risk Explanation 1,Severity Explanation 2,Compliance Explanation 3,Effect Explanation 4,,,,,,
152,When doing 5 Why we must always ask exactly 5 whys.,True or False,2,Problem Solving,1,2,,,True,False,,,,,,,,
153,Which of the following M’s is NOT part of the 4M’s + 2 discussed in the learning module?,Multiple Choice,4,Problem Solving,1,4,,,Risk Explanation 1,Severity Explanation 2,Effect Explanation 3,Action Explanation 4,,,,,,
154,The fishbone diagram was first developed by Mr. ______________.,Multiple Choice,4,Problem Solving,1,4,,,Risk Explanation 1,Severity Explanation 2,Action Explanation 3,Effect Explanation 4,,,,,,
155,We should always use software to draw fishbone diagrams for the first time.,True or False,2,Problem Solving,1,2,,,True,False,,,,,,,,
156,Using Post-it notes (sticky notes) is a good way to facilitate the brainstorming sessions that are part of the fishbone creation process.,True or False,2,Problem Solving,1,2,,,True,False,,,,,,,,
157,"If there were 15 root causes identified, how many votes would each team member receive after N/3 was done?",Multiple Choice,4,Problem Solving,1,4,,,Effect Explanation 1,Severity Explanation 2,Compliance Explanation 3,Action Explanation 4,,,,,,
158,"The fishbone diagram is a ______________ tool, meaning we’ll continue to update it as we learn more and make improvements.",Multiple Choice,4,Problem Solving,1,4,,,Risk Explanation 1,Severity Explanation 2,Compliance Explanation 3,Effect Explanation 4,,,,,,
164,The 5 Why is a problem solving method used to explore the cause and _________ relationships of a particular problem.,Multiple Choice,4,Problem Solving,1,4,,,Action Explanation 1,Severity Explanation 2,Risk Explanation 3,Compliance Explanation 4,,,,,,
165,Which of the following is NOT part of the 5 Why process?,Multiple Choice,4,Problem Solving,1,4,,,Severity Explanation 1,Action Explanation 2,Risk Explanation 3,Effect Explanation 4,,,,,,
166,Why analysis may result in multiple paths being created.,True or False,2,Problem Solving,1,2,,,True,False,,,,,,,,
167,What single word can be asked/used to verify the cause and effect relationship of a 5 Why analysis makes sense?,Multiple Choice,4,Problem Solving,1,4,,,Action Explanation 1,Compliance Explanation 2,Effect Explanation 3,Risk Explanation 4,,,,,,
168,Which of the following are typical errors committed during 5 Why analysis? Please select all that apply.,Multiple Choice,4,Problem Solving,1,4,,,Compliance Explanation 1,Effect Explanation 2,Action Explanation 3,Severity Explanation 4,,,,,,
169,A proper root cause analysis will usually point to the action needed or least point us in a very good direction.,True or False,2,Problem Solving,1,2,,,True,False,,,,,,,,
170,Why do we use the word “countermeasure” instead of “solution” as it relates to practical problem solving?,Multiple Choice,4,Problem Solving,1,4,,,Severity Explanation 1,Effect Explanation 2,Compliance Explanation 3,Risk Explanation 4,,,,,,
171,The facilitator of a brainstorming process should never do this.,Multiple Choice,4,Problem Solving,1,4,,,Severity Explanation 1,Action Explanation 2,Risk Explanation 3,Compliance Explanation 4,,,,,,
172,As we move to implement countermeasures it’s extremely important to always work alone.,True or False,2,Problem Solving,1,2,,,True,False,,,,,,,,
174,Another word for attempting many ideas while seeing countermeasures through.,Multiple Choice,4,Problem Solving,1,4,,,Compliance Explanation 1,Action Explanation 2,Severity Explanation 3,Effect Explanation 4,,,,,,
175,As we enter into the do phase of PDCA cycle we will do this.,Multiple Choice,4,Problem Solving,1,4,,,Risk Explanation 1,Effect Explanation 2,Severity Explanation 3,Action Explanation 4,,,,,,
176,If your team meets a tremendous amount of resistance to change you should consider quitting and going in a different direction.,True or False,2,Problem Solving,1,2,,,True,False,,,,,,,,
177,"During the “See Countermeasures Through” step we’ll continue to turn the __________ again and again as we work to implement our countermeasures and most importantly, work to understand why some countermeasures don’t always work out as we hoped they would.",Multiple Choice,4,Problem Solving,1,4,,,Effect Explanation 1,Compliance Explanation 2,Risk Explanation 3,Action Explanation 4,,,,,,
178,Step 7 of the practical problem solving methodology is often called the ____________ phase as we evaluate both the results of our countermeasure implementation and the process itself.,Multiple Choice,4,Problem Solving,1,4,,,Risk Explanation 1,Severity Explanation 2,Compliance Explanation 3,Effect Explanation 4,,,,,,
179,What questions do we ask during the check phase of the problem solving methodology? Please select all that apply.,Multiple Choice,4,Problem Solving,1,4,,,Action Explanation 1,Effect Explanation 2,Compliance Explanation 3,Risk Explanation 4,,,,,,
180,"In order to check the results and the process we must go to gemba, or the place the work is done.",True or False,2,Problem Solving,1,2,,,True,False,,,,,,,,
181,What should our reaction be when a bad process (or countermeasure) returns a bad result?,Multiple Choice,4,Problem Solving,1,4,,,Risk Explanation 1,Severity Explanation 2,Effect Explanation 3,Action Explanation 4,,,,,,
182,During this 7th step it’s extremely important to understand what the data are saying.,True or False,2,Problem Solving,1,2,,,True,False,,,,,,,,
183,"As we move into step 8 of the process, which is focused on standardizing success while learning from failures, we’re actually moving into the _________ phase.",Multiple Choice,4,Problem Solving,1,4,,,Action Explanation 1,Effect Explanation 2,Severity Explanation 3,Risk Explanation 4,,,,,,
184,"No matter what results we’re dealing with, success or failure, it’s important to continuously ask why.",True or False,2,Problem Solving,1,2,,,True,False,,,,,,,,
185,The Plan and Do phases of PDCA can be likened to what analogy?,Multiple Choice,4,Problem Solving,1,4,,,Action Explanation 1,Effect Explanation 2,Risk Explanation 3,Compliance Explanation 4,,,,,,
