ActivityCode,ActivityName,Provider,Active,Language,EstimatedDuration,EstimatedCredits,ActivityDescription,Minimum,Maximum,Instructor,ExpressIntrest,Contact,Skills,Competency,Topic
Influential Leadership Workshop (MAC),Influential Leadership Workshop,ILT Content,0,en-us,,,,,,,0,,,,Infrastructure Support Engineer to CloudOps Engineer
Injection_Injection Molding - Manf Technology (AGG: Tyler Watson),Injection Molding - Manufacturing Technology,ILT Content,0,en-us,,,,,,,0,,,,Developer Fundamentals
J2P0310 (vendor),Handling Tool Operation and Programming,ILT Content,0,en-us,,,,,,,0,,,,Network Admin to Site Reliability Engineer
Leadership Core: Excel (AGGU),Excel - Leadership Core,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Senior Software Project Managers
Leadership Core: Outlook 2010 (AGGU),Change Your Outlook on Outlook 2010 (session 2),ILT Content,0,en-us,,,,,,,0,,,,5G Technologies and Practices
Leadership Core: Praise (AGGU),Why Praise Can BackfireAnd How to Do it Right - Leadership Core,ILT Content,0,en-us,,,,,,,0,,,,Web App Vulnerability Analyst - 2022 Update
Leadership: AGG Policies (AGGU),Understanding AGG Policies: What Would You Do? - Leadership Core,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Programming Python in Action
Leadership_ 5S+1Y I (AGGU),5S+1Y I,ILT Content,0,en-us,,,,,,,0,,,,Go Programming Essentials
Leadership_4 Imperatives (MAC),The Four Imperatives of Great Leaders Workshop,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Javanista
Leadership_Delegating (MAC),Delegating with Purpose,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Software Architects
Leadership_DISC-LC (AGGU),DISC,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Data Visualization
Leadership_Driving Change (MAC),Driving Change,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for AI Architects
Leadership_Effective Communication -LC (AGGU),Effective Communication,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for 5G Technologies and Practices
Leadership_Emotional Intelligence Training,Emotional Intelligence Training,ILT Content,1,,28800,,"Emotional Intelligence (EQ) is how you handle yourself and others on the job. Your EQ consists of four core skills: Self-Awareness, Self-Management, Social Awareness, and Relationship Management. This 8-hour training will take you far beyond knowing what EQ is... you'll discover 66 strategies you can use right away!",,,,0,AGG.University@dummydata.com,,,Business & Leadership for Javanista
Leadership_Kanban I (AGGU),Kanban I,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Enriched Web Development with Angular 11
Leadership_LMS Training for Managers,LMS Training for Managers,ILT Content,0,,3600,," Hands-on LMS training, where Supervisors and Managers will learn how to use the LMS and automated reports to proactively manage training in their departments.",,,,1,AGG.University@dummydata.com,,,Programming Python in Action
Leadership_Middle Management Training (MMT),Middle Management Training (MMT),ILT Content,0,,,, This 3-day management training focuses on AGG essentials and work processes in problem-solving and leadership.,,,,0,AGG.University@dummydata.com,,,Business Analyst to Data Analyst
Leadership_MMT Global Train the Trainer (Middle Management Training),MMT Global Train the Trainer (Middle Management Training),ILT Content,0,,,,,,,,0,,,,Serverless Deployments for Developers
Leadership_ProManager (vendor),ProManager Leadership Development,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Web App Vulnerability Analyst
Leadership_SCP,Supervisor Certification Program (register for a session),ILT Content,0,en-us,,,,,,,1,,,,Developer to Software Architect
Leadership_SCP final presentation (ILT Course),Supervisor Certification Program Final Presentation,ILT Content,0,,900,,Present the status of departmental improvements that were started during supervisor certification program.,,,,0,AGG.University@dummydata.com,,,Productivity Tools for Python Master
Leadership_SCP Leadership & Goals,Supervisor Cert - Leadership & Goals,ILT Content,1,,144000,,,,,angelaadmin,0,,,,Efficiency & Productivity in the New Normal
Leadership_SCP Leadership & Goals,Supervisor Cert - Leadership & Goals,ILT Content,1,,144000,,,,,jenadmin,0,,,,Efficiency & Productivity in the New Normal
Leadership_SCP Leadership & Goals,Supervisor Cert - Leadership & Goals,ILT Content,1,,144000,,,,,KY004130,0,,,,Efficiency & Productivity in the New Normal
Leadership_SCP Leadership & Goals,Supervisor Cert - Leadership & Goals,ILT Content,1,,144000,,,,,MT000080951,0,,,,Efficiency & Productivity in the New Normal
Leadership_SCP Leadership & Goals,Supervisor Cert - Leadership & Goals,ILT Content,1,,144000,,,,,TX002096,0,,,,Efficiency & Productivity in the New Normal
Leadership_SCP Leadership & Goals,Supervisor Cert - Leadership & Goals,ILT Content,1,,144000,,,,,tyleradmin,0,,,,Efficiency & Productivity in the New Normal
Leadership_SCP Leadership & Goals_ARCHIVE,Supervisor Certification Program Weekly (Leadership & Goals),ILT Content,0,,,,,,,,0,AGG.University@dummydata.com,,,Business & Leadership for Data Analysis with R
Leadership_SCP Leadership & Goals_ARCHIVE,Supervisor Certification Program Weekly (Leadership & Goals),ILT Content,1,,,,,,,,0,AGG.University@dummydata.com,,,Business & Leadership for Data Analysis with R
Leadership_SCP Quality & Problem Solving,Supervisor Cert - Quality & Problem Solving,ILT Content,1,,144000,,,,,angelaadmin,0,,,,Enterprise Development to Full Stack Developer
Leadership_SCP Quality & Problem Solving,Supervisor Cert - Quality & Problem Solving,ILT Content,1,,144000,,,,,jenadmin,0,,,,Enterprise Development to Full Stack Developer
Leadership_SCP Quality & Problem Solving,Supervisor Cert - Quality & Problem Solving,ILT Content,1,,144000,,,,,KY004130,0,,,,Enterprise Development to Full Stack Developer
Leadership_SCP Quality & Problem Solving,Supervisor Cert - Quality & Problem Solving,ILT Content,1,,144000,,,,,MT000080951,0,,,,Enterprise Development to Full Stack Developer
Leadership_SCP Quality & Problem Solving,Supervisor Cert - Quality & Problem Solving,ILT Content,1,,144000,,,,,TX002096,0,,,,Enterprise Development to Full Stack Developer
Leadership_SCP Quality & Problem Solving,Supervisor Cert - Quality & Problem Solving,ILT Content,1,,144000,,,,,tyleradmin,0,,,,Enterprise Development to Full Stack Developer
Leadership_SCP Quality & Problem Solving_ARCHIVE,Supervisor Certification Program Weekly (Quality & Problem Solving),ILT Content,1,,,,,,,,0,AGG.University@dummydata.com,,,Productivity Tools for Web App Vulnerability Analyst
Leadership_SCP Standard Work & Training_ARCHIVE,Supervisor Certification Program Weekly (Standard Work & Training),ILT Content,1,,,,,,,,0,AGG.University@dummydata.com,,,Productivity Tools with Agile for Software Development
Leadership_SCP Standard Work & Training,Supervisor Cert - Standard Work & Training,ILT Content,1,,144000,,,,,angelaadmin,0,,,,Software Project Analyst to Senior Software Project Manager
Leadership_SCP Standard Work & Training,Supervisor Cert - Standard Work & Training,ILT Content,1,,144000,,,,,jenadmin,0,,,,Software Project Analyst to Senior Software Project Manager
Leadership_SCP Standard Work & Training,Supervisor Cert - Standard Work & Training,ILT Content,1,,144000,,,,,KY004130,0,,,,Software Project Analyst to Senior Software Project Manager
Leadership_SCP Standard Work & Training,Supervisor Cert - Standard Work & Training,ILT Content,1,,144000,,,,,MT000080951,0,,,,Software Project Analyst to Senior Software Project Manager
Leadership_SCP Standard Work & Training,Supervisor Cert - Standard Work & Training,ILT Content,1,,144000,,,,,TX002096,0,,,,Software Project Analyst to Senior Software Project Manager
Leadership_SCP Standard Work & Training,Supervisor Cert - Standard Work & Training,ILT Content,1,,144000,,,,,tyleradmin,0,,,,Software Project Analyst to Senior Software Project Manager
Leadership_SCP TPS & Safety,Supervisor Cert - TPS & Safety,ILT Content,1,,144000,,,,,angelaadmin,0,,,,Business & Leadership for Journeyman Developers
Leadership_SCP TPS & Safety,Supervisor Cert - TPS & Safety,ILT Content,1,,144000,,,,,jenadmin,0,,,,Business & Leadership for Journeyman Developers
Leadership_SCP TPS & Safety,Supervisor Cert - TPS & Safety,ILT Content,1,,144000,,,,,KY004130,0,,,,Business & Leadership for Journeyman Developers
Leadership_SCP TPS & Safety,Supervisor Cert - TPS & Safety,ILT Content,1,,144000,,,,,MT000080951,0,,,,Business & Leadership for Journeyman Developers
Leadership_SCP TPS & Safety,Supervisor Cert - TPS & Safety,ILT Content,1,,144000,,,,,TX002096,0,,,,Business & Leadership for Journeyman Developers
Leadership_SCP TPS & Safety,Supervisor Cert - TPS & Safety,ILT Content,1,,144000,,,,,tyleradmin,0,,,,Business & Leadership for Journeyman Developers
Leadership_SCP TPS & Safety (weekly),Supervisor Certification Program Weekly (TPS & Safety),ILT Content,0,,144000,,,,,,0,AGG.University@dummydata.com,,,Business & Leadership for API Developers
